0.642312	0.363814	0.295161	0.722634	0.171519	0.563755	0.345662	0.686232	0.0716553	0.475061	0.424716	0.315405	
0.917850	0.0105755	0.863280	0.407130	0.253843	0.0610655	0.309646	0.0885785	0.740030	0.617003	0.0858906	0.484303	
0.943763	0.562365	0.074164	0.102267	0.752628	0.915570	0.364606	0.112650	0.884524	0.549006	0.0613846	0.334096	
0.406957	0.494896	0.463053	0.559463	0.945074	0.348943	0.664600	0.704563	0.307864	0.742175	0.808688	0.181137	
0.162288	0.298034	0.0834886	0.704451	0.674758	0.907393	0.986125	0.587054	0.246986	0.123050	0.889843	0.478243	
0.00418338	0.137956	0.874361	0.425322	0.511173	0.0886713	0.323151	0.890032	0.389240	0.653084	0.219495	0.500136	
0.808743	0.706948	0.614744	0.804802	0.0198935	0.709139	0.179784	0.124082	0.821421	0.648262	0.730324	0.827145	
0.126171	0.887462	0.741578	0.894688	0.383584	0.182952	0.233417	0.489260	0.446632	0.561526	0.678610	0.768044	
0.585483	0.495282	0.706089	0.787364	0.484120	0.585639	0.0615057	0.332877	0.477618	0.684693	0.697423	0.753309	
0.399063	0.0694148	0.734368	0.356807	0.566153	0.0817713	0.320798	0.498525	0.881377	0.399182	0.594780	0.415214	
0.804473	0.671770	0.597733	0.311069	0.541187	0.970265	0.338860	0.254612	0.232289	0.474434	0.747497	0.0260701	
0.716756	0.0683439	0.152012	0.833226	0.806066	0.0209354	0.257849	0.952656	0.559789	0.478159	0.0815748	0.692444	
